File Name	Gallery Caption	Identification Basis	Sort Group
ChatGPT Image Jun 15, 2026, 03_09_54 AM (6).png	Blue Balloon Table Setup	Visible photo and catalogue context	Balloon styling and backdrops
ChatGPT Image Jun 14, 2026, 11_04_33 PM (1).png	Butterfly Balloon Backdrop	Visible photo and catalogue context	Balloon styling and backdrops
Christmas Theme1.png	Christmas Balloon Display	File name and visible photo	Balloon styling and backdrops
ChatGPT Image Jun 15, 2026, 02_57_04 AM (2).png	Dessert Table Backdrop	Visible photo and catalogue context	Balloon styling and backdrops
ChatGPT Image Jun 15, 2026, 02_57_15 AM (2).png	Dessert Table Backdrop	Visible photo and catalogue context	Balloon styling and backdrops
ChatGPT Image Jun 14, 2026, 11_04_35 PM (6).png	Floral Arbour Backdrop	Visible photo and catalogue context	Balloon styling and backdrops
ChatGPT Image Jun 15, 2026, 02_22_56 AM (3).png	Floral Table Backdrop	Visible photo and catalogue context	Balloon styling and backdrops
ChatGPT Image Jun 15, 2026, 02_22_58 AM (8).png	Green Balloon Column Display	Visible photo and catalogue context	Balloon styling and backdrops
ChatGPT Image Jun 15, 2026, 03_09_53 AM (2).png	Green Balloon Table Setting	Visible photo and catalogue context	Balloon styling and backdrops
ChatGPT Image Jun 15, 2026, 02_27_43 AM (6).png	Masquerade Party Backdrop	Visible photo and catalogue context	Balloon styling and backdrops
ChatGPT Image Jun 14, 2026, 11_04_33 PM (2).png	Pastel Balloon Backdrop	Visible photo and catalogue context	Balloon styling and backdrops
ChatGPT Image Jun 14, 2026, 11_17_36 PM (6).png	Pink Floral Balloon Backdrop	Visible photo and catalogue context	Balloon styling and backdrops
ChatGPT Image Jun 15, 2026, 10_34_50 AM (9).png	Red and Black Balloon Column	Visible photo and catalogue context	Balloon styling and backdrops
ChatGPT Image Jun 15, 2026, 03_09_56 AM (9).png	Red and White Wedding Backdrop	Visible photo and catalogue context	Balloon styling and backdrops
ChatGPT Image Jun 14, 2026, 11_17_36 PM (7).png	Red and Yellow Balloon Arch	Visible photo and catalogue context	Balloon styling and backdrops
ChatGPT Image Jun 15, 2026, 10_34_50 AM (10).png	Tuxedo Theme Party Table	Visible photo and catalogue context	Balloon styling and backdrops
Valentine Theme 1.png	Valentine Balloon Backdrop	File name and visible photo	Balloon styling and backdrops
ChatGPT Image Jun 14, 2026, 11_54_44 PM (1).png	White Balloon Arch Backdrop	Visible photo and catalogue context	Balloon styling and backdrops
ChatGPT Image Jun 14, 2026, 11_54_46 PM (4).png	White Balloon Ceremony Arch	Visible photo and catalogue context	Balloon styling and backdrops
ChatGPT Image Jun 14, 2026, 11_54_46 PM (6).png	White Balloon Column Decor	Visible photo and catalogue context	Balloon styling and backdrops
ChatGPT Image Jun 15, 2026, 03_16_16 AM (3).png	White Draped Garden Arbour	Visible photo and catalogue context	Balloon styling and backdrops
ChatGPT Image Jun 15, 2026, 02_22_56 AM (4).png	Banquet Room Table Setting	Visible photo and catalogue context	Tables, seating, and dining
ChatGPT Image Jun 15, 2026, 10_34_47 AM (4).png	Black and Gold Aisle Seating	Visible photo and catalogue context	Tables, seating, and dining
ChatGPT Image Jun 15, 2026, 10_34_48 AM (5).png	Black and Gold Long Table Setting	Visible photo and catalogue context	Tables, seating, and dining
ChatGPT Image Jun 15, 2026, 10_34_56 AM (5).png	Black and Gold Long Table Setting	Visible photo and catalogue context	Tables, seating, and dining
ChatGPT Image Jun 15, 2026, 10_34_47 AM (2).png	Black and Gold Outdoor Table Setting	Visible photo and catalogue context	Tables, seating, and dining
ChatGPT Image Jun 15, 2026, 10_34_45 AM (1).png	Black and Gold Table Centrepiece	Visible photo and catalogue context	Tables, seating, and dining
ChatGPT Image Jun 15, 2026, 02_57_05 AM (4).png	Boho Picnic Table Setup	Visible photo and catalogue context	Tables, seating, and dining
ChatGPT Image Jun 15, 2026, 02_57_16 AM (4).png	Boho Picnic Table Setup	Visible photo and catalogue context	Tables, seating, and dining
ChatGPT Image Jun 15, 2026, 02_27_42 AM (3).png	Buffet Warmer Table Setup	Visible photo and catalogue context	Tables, seating, and dining
ChatGPT Image Jun 15, 2026, 03_09_56 AM (10).png	Floral Table Centrepiece	Visible photo and catalogue context	Tables, seating, and dining
ChatGPT Image Jun 14, 2026, 11_17_36 PM (3).png	Formal Event Table Setup	Visible photo and catalogue context	Tables, seating, and dining
ChatGPT Image Jun 15, 2026, 02_22_58 AM (7).png	Formal Round Table Setup	Visible photo and catalogue context	Tables, seating, and dining
ChatGPT Image Jun 14, 2026, 11_17_36 PM (8).png	Formal Table Setting	Visible photo and catalogue context	Tables, seating, and dining
ChatGPT Image Jun 15, 2026, 03_16_16 AM (4).png	Garden Ceremony Table Setup	Visible photo and catalogue context	Tables, seating, and dining
ChatGPT Image Jun 15, 2026, 03_16_17 AM (6).png	Gold Skirted Buffet Table	Visible photo and catalogue context	Tables, seating, and dining
ChatGPT Image Jun 15, 2026, 03_09_54 AM (4).png	Green and White Kids Table Setting	Visible photo and catalogue context	Tables, seating, and dining
ChatGPT Image Jun 15, 2026, 03_09_52 AM (1).png	Green and White Table Setup	Visible photo and catalogue context	Tables, seating, and dining
ChatGPT Image Jun 15, 2026, 02_27_44 AM (8).png	Indoor Red and White Table Setup	Visible photo and catalogue context	Tables, seating, and dining
ChatGPT Image Jun 14, 2026, 11_17_36 PM (2).png	Marquee Banquet Table Setup	Visible photo and catalogue context	Tables, seating, and dining
ChatGPT Image Jun 14, 2026, 11_17_36 PM (9).png	Marquee Chair Seating	Visible photo and catalogue context	Tables, seating, and dining
ChatGPT Image Jun 15, 2026, 02_51_02 AM (8).png	Marquee Tropical Seating Setup	Visible photo and catalogue context	Tables, seating, and dining
ChatGPT Image Jun 15, 2026, 02_51_02 AM (7).png	Marquee Tropical Table Setup	Visible photo and catalogue context	Tables, seating, and dining
ChatGPT Image Jun 14, 2026, 11_04_36 PM (9).png	Outdoor Kids Table Setup	Visible photo and catalogue context	Tables, seating, and dining
ChatGPT Image Jun 15, 2026, 02_57_04 AM (1).png	Picnic Dessert Table Setup	Visible photo and catalogue context	Tables, seating, and dining
ChatGPT Image Jun 15, 2026, 02_57_06 AM (7).png	Picnic Dessert Table Setup	Visible photo and catalogue context	Tables, seating, and dining
ChatGPT Image Jun 15, 2026, 02_57_15 AM (1).png	Picnic Dessert Table Setup	Visible photo and catalogue context	Tables, seating, and dining
ChatGPT Image Jun 15, 2026, 02_57_17 AM (7).png	Picnic Dessert Table Setup	Visible photo and catalogue context	Tables, seating, and dining
ChatGPT Image Jun 15, 2026, 02_51_01 AM (3).png	Pink Feather Centrepiece	Visible photo and catalogue context	Tables, seating, and dining
ChatGPT Image Jun 14, 2026, 11_54_46 PM (5).png	Pink Marquee Table Setup	Visible photo and catalogue context	Tables, seating, and dining
ChatGPT Image Jun 15, 2026, 02_23_00 AM (9).png	Poolside Marquee Table Setup	Visible photo and catalogue context	Tables, seating, and dining
ChatGPT Image Jun 15, 2026, 02_23_01 AM (10).png	Poolside Red Table Setup	Visible photo and catalogue context	Tables, seating, and dining
ChatGPT Image Jun 15, 2026, 03_16_15 AM (2).png	Red and White Buffet Table	Visible photo and catalogue context	Tables, seating, and dining
ChatGPT Image Jun 15, 2026, 02_27_43 AM (5).png	Red and White Marquee Seating	Visible photo and catalogue context	Tables, seating, and dining
ChatGPT Image Jun 15, 2026, 03_16_16 AM (5).png	Red and White Marquee Table Setting	Visible photo and catalogue context	Tables, seating, and dining
ChatGPT Image Jun 14, 2026, 11_54_47 PM (8).png	Round Table Chair Bow Setup	Visible photo and catalogue context	Tables, seating, and dining
ChatGPT Image Jun 15, 2026, 02_22_56 AM (1).png	Round Table Event Setting	Visible photo and catalogue context	Tables, seating, and dining
ChatGPT Image Jun 14, 2026, 11_54_48 PM (10).png	Skirted Buffet Table Setup	Visible photo and catalogue context	Tables, seating, and dining
ChatGPT Image Jun 15, 2026, 02_51_03 AM (9).png	Tropical Long Table Setting	Visible photo and catalogue context	Tables, seating, and dining
ChatGPT Image Jun 15, 2026, 02_51_02 AM (6).png	Tropical Table Centrepiece	Visible photo and catalogue context	Tables, seating, and dining
ChatGPT Image Jun 15, 2026, 02_51_01 AM (5).png	Tropical Table Setting	Visible photo and catalogue context	Tables, seating, and dining
ChatGPT Image Jun 14, 2026, 11_17_36 PM (4).png	White Marquee Seating Setup	Visible photo and catalogue context	Tables, seating, and dining
ChatGPT Image Jun 14, 2026, 11_17_36 PM (1).png	White Table Setting	Visible photo and catalogue context	Tables, seating, and dining
ChatGPT Image Jun 15, 2026, 02_57_05 AM (5).png	Boho Picnic Marquee Setup	Visible photo and catalogue context	Marquees and outdoor setups
ChatGPT Image Jun 15, 2026, 02_57_16 AM (5).png	Boho Picnic Marquee Setup	Visible photo and catalogue context	Marquees and outdoor setups
ChatGPT Image Jun 14, 2026, 11_54_45 PM (3).png	Outdoor White Marquee	Visible photo and catalogue context	Marquees and outdoor setups
ChatGPT Image Jun 15, 2026, 02_27_41 AM (1).png	Poolside Marquee Dining Setup	Visible photo and catalogue context	Marquees and outdoor setups
ChatGPT Image Jun 15, 2026, 02_27_43 AM (4).png	Poolside Red and White Event Setup	Visible photo and catalogue context	Marquees and outdoor setups
ChatGPT Image Jun 15, 2026, 03_16_15 AM (1).png	Red and White Marquee Ceremony Setup	Visible photo and catalogue context	Marquees and outdoor setups
ChatGPT Image Jun 15, 2026, 02_22_56 AM (2).png	Floral Hanging Arbour	Visible photo and catalogue context	Wedding and ceremony styling
ChatGPT Image Jun 15, 2026, 02_57_05 AM (3).png	Lighted Teepee Picnic Setup	Visible photo and catalogue context	Picnic and dessert setups
ChatGPT Image Jun 15, 2026, 02_57_15 AM (3).png	Lighted Teepee Picnic Setup	Visible photo and catalogue context	Picnic and dessert setups
ChatGPT Image Jun 15, 2026, 02_57_07 AM (8).png	Outdoor Teepee Picnic Setup	Visible photo and catalogue context	Picnic and dessert setups
ChatGPT Image Jun 15, 2026, 02_57_18 AM (8).png	Outdoor Teepee Picnic Setup	Visible photo and catalogue context	Picnic and dessert setups
generated-missing-themes/custom-themes.png	Custom Theme Setup	Generated missing theme image	Generated missing theme images
generated-missing-themes/mermaid-theme.png	Mermaid Theme Setup	Generated missing theme image	Generated missing theme images
generated-missing-themes/princess-theme.png	Princess Theme Setup	Generated missing theme image	Generated missing theme images
